architecture,benchmark,benchmark_key,avg_cpd,avg_wl,successful_seeds,failed_seeds
All_top_arch,S526,S526,2.243708,217.8,5,0
Iso-Edge_arch,S526,S526,2.29221,212.4,5,0
Mix-Edge_arch,S526,S526,2.2943419999999994,228.4,5,0
Aligned_arch,S526,S526,2.228074,213.2,5,0
Striped_arch,S526,S526,2.171014,211.0,5,0
Border_arch,S526,S526,2.1807159999999994,201.4,5,0
2D_arch,S526N,S526N,2.2593059999999996,259.4,5,0
Offset_arch,S526N,S526N,2.1634439999999997,218.4,5,0
All_top_arch,S526N,S526N,2.1790779999999996,214.0,5,0
Iso-Edge_arch,S526N,S526N,2.218374,187.6,5,0
Mix-Edge_arch,S526N,S526N,2.180716,182.8,5,0
Aligned_arch,S526N,S526N,2.3455019999999998,217.4,5,0
Striped_arch,S526N,S526N,2.1790779999999996,186.6,5,0
Border_arch,S526N,S526N,2.2356439999999997,207.2,5,0
2D_arch,S5378,S5378,4.720395999999999,3928.2,5,0
Offset_arch,S5378,S5378,4.503672,3806.2,5,0
All_top_arch,S5378,S5378,4.617804000000001,3979.0,5,0
Iso-Edge_arch,S5378,S5378,4.631896,4007.0,5,0
Mix-Edge_arch,S5378,S5378,4.543470000000001,3821.4,5,0
Aligned_arch,S5378,S5378,4.554734,3810.2,5,0
Striped_arch,S5378,S5378,4.582896,3980.2,5,0
Border_arch,S5378,S5378,4.706908,3841.8,5,0
2D_arch,S641,S641,4.69432,671.6,5,0
Offset_arch,S641,S641,4.826766,781.2,5,0
All_top_arch,S641,S641,4.543532000000001,680.6,5,0
Iso-Edge_arch,S641,S641,4.580096,757.4,5,0
Mix-Edge_arch,S641,S641,4.467072,741.4,5,0
Aligned_arch,S641,S641,4.646726,687.2,5,0
Striped_arch,S641,S641,4.504238,719.2,5,0
Border_arch,S641,S641,4.709938,773.0,5,0
2D_arch,S713,S713,4.550396000000001,681.8,5,0
Offset_arch,S713,S713,4.368374,633.2,5,0
All_top_arch,S713,S713,4.545299999999999,789.0,5,0
Iso-Edge_arch,S713,S713,4.363042,741.4,5,0
Mix-Edge_arch,S713,S713,4.448492,741.0,5,0
Aligned_arch,S713,S713,4.374289999999999,659.0,5,0
Striped_arch,S713,S713,4.595751999999999,664.0,5,0
Border_arch,S713,S713,4.3818600000000005,670.4,5,0
2D_arch,S820,S820,3.0369859999999997,667.2,5,0
Offset_arch,S820,S820,2.8188079999999998,624.0,5,0
All_top_arch,S820,S820,2.9640760000000004,656.8,5,0
Iso-Edge_arch,S820,S820,3.091066,686.6,5,0
Mix-Edge_arch,S820,S820,2.8953939999999996,659.8,5,0
Aligned_arch,S820,S820,2.891006,601.4,5,0
Striped_arch,S820,S820,3.0692639999999995,705.2,5,0
Border_arch,S820,S820,2.862406,642.4,5,0
2D_arch,S832,S832,2.960526,781.6,5,0
Offset_arch,S832,S832,3.042214,804.2,5,0
All_top_arch,S832,S832,3.0537579999999998,747.2,5,0
Iso-Edge_arch,S832,S832,3.1884740000000003,840.6,5,0
Mix-Edge_arch,S832,S832,3.0477220000000003,791.6,5,0
Aligned_arch,S832,S832,3.0392099999999997,791.2,5,0
Striped_arch,S832,S832,3.0067639999999995,752.0,5,0
Border_arch,S832,S832,3.107836,797.2,5,0
2D_arch,S838,S838,5.082108,845.0,5,0
Offset_arch,S838,S838,5.046904,784.2,5,0
All_top_arch,S838,S838,5.2338819999999995,821.0,5,0
Iso-Edge_arch,S838,S838,5.04591,798.8,5,0
Mix-Edge_arch,S838,S838,4.978938,816.6,5,0
Aligned_arch,S838,S838,5.196726,794.0,5,0
Striped_arch,S838,S838,5.529389999999999,797.6,5,0
Border_arch,S838,S838,5.13953,782.0,5,0
2D_arch,S9234,S9234,4.87257,2688.0,5,0
Offset_arch,S9234,S9234,4.862871999999999,2489.4,5,0
All_top_arch,S9234,S9234,4.539610000000001,2543.6,5,0
Iso-Edge_arch,S9234,S9234,4.909739999999999,2540.2,5,0
Mix-Edge_arch,S9234,S9234,4.688876,2459.4,5,0
Aligned_arch,S9234,S9234,4.639882,2401.2,5,0
Striped_arch,S9234,S9234,4.661538,2525.8,5,0
Border_arch,S9234,S9234,4.686748,2416.8,5,0
2D_arch,S953,S953,2.901392,1254.2,5,0
Offset_arch,S953,S953,3.0600240000000003,1282.0,5,0
All_top_arch,S953,S953,3.085232,1204.2,5,0
